carBrand,carModel,year,price(rub),city,distance(km),engine_capacity(L),fuel_type
Toyota,Camry,2012,1649000.0,Новосибирск,235000.0,2.5,"бензин,"
Toyota,Camry,2012,1650000.0,Новосибирск,250001.0,3.5,"бензин,"
Toyota,Camry,2012,1350000.0,Новосибирск,265000.0,2.5,"бензин,"
Toyota,Camry,2018,2999000.0,Новосибирск,96708.0,2.5,"бензин,"
Toyota,Camry,2019,3100000.0,Новосибирск,109292.0,2.5,"бензин,"
Toyota,Camry,2018,3990000.0,Новосибирск,22640.0,2.5,"бензин,"
Toyota,Camry,2008,1305000.0,Новосибирск,333333.0,2.4,"бензин,"
Toyota,Camry,2012,2090000.0,Новосибирск,269321.0,2.5,"бензин,"
Toyota,Camry,2012,1899000.0,Новосибирск,226000.0,2.5,"бензин,"
Toyota,Camry,2017,2600000.0,Новосибирск,63000.0,2.5,"бензин,"
Toyota,Camry,2017,2750000.0,Новосибирск,143000.0,2.5,"бензин,"
Toyota,Camry,2018,2997000.0,Красноярск,92000.0,2.5,"бензин,"
Toyota,Camry,2006,1370000.0,Тюмень,279000.0,2.4,"бензин,"
Toyota,Camry,2017,2199000.0,Москва,125037.0,2.5,"бензин,"
Toyota,Camry,2019,3250000.0,Новоалтайск,111000.0,2.5,"бензин,"
Toyota,Camry,2018,2890000.0,Улан-Удэ,105000.0,2.5,"гибрид,"
Toyota,Camry,2002,700000.0,Иркутск,400000.0,2.0,"бензин,"
Toyota,Camry,2018,2610000.0,Омск,93414.0,2.5,"бензин,"
Toyota,Camry,2018,2480000.0,Омск,90500.0,2.5,"бензин,"
Toyota,Camry,2017,2400000.0,Омск,144659.0,2.5,"бензин,"
Toyota,Camry,2012,1649000.0,Новосибирск,235000.0,2.5,"бензин,"
Toyota,Camry,2012,1650000.0,Новосибирск,250001.0,3.5,"бензин,"
Toyota,Camry,2012,1350000.0,Новосибирск,265000.0,2.5,"бензин,"
Toyota,Camry,2018,2999000.0,Новосибирск,96708.0,2.5,"бензин,"
Toyota,Camry,2019,3100000.0,Новосибирск,109292.0,2.5,"бензин,"
Toyota,Camry,2018,3990000.0,Новосибирск,22640.0,2.5,"бензин,"
Toyota,Camry,2008,1305000.0,Новосибирск,333333.0,2.4,"бензин,"
Toyota,Camry,2012,2090000.0,Новосибирск,269321.0,2.5,"бензин,"
Toyota,Camry,2012,1899000.0,Новосибирск,226000.0,2.5,"бензин,"
Toyota,Camry,2017,2600000.0,Новосибирск,63000.0,2.5,"бензин,"
Toyota,Camry,2017,2750000.0,Новосибирск,143000.0,2.5,"бензин,"
Toyota,Camry,2018,2997000.0,Красноярск,92000.0,2.5,"бензин,"
Toyota,Camry,2006,1370000.0,Тюмень,279000.0,2.4,"бензин,"
Toyota,Camry,2017,2199000.0,Москва,125037.0,2.5,"бензин,"
Toyota,Camry,2019,3250000.0,Новоалтайск,111000.0,2.5,"бензин,"
Toyota,Camry,2018,2890000.0,Улан-Удэ,105000.0,2.5,"гибрид,"
Toyota,Camry,2002,700000.0,Иркутск,400000.0,2.0,"бензин,"
Toyota,Camry,2018,2610000.0,Омск,93414.0,2.5,"бензин,"
Toyota,Camry,2018,2480000.0,Омск,90500.0,2.5,"бензин,"
Toyota,Camry,2017,2400000.0,Омск,144659.0,2.5,"бензин,"
Toyota,Camry,2011,1020000.0,Омск,146643.0,2.4,"бензин,"
Toyota,Camry,2019,2720000.0,Новосибирск,100000.0,2.5,"бензин,"
