carBrand,carModel,year,price(rub),city,distance(km),engine_capacity(L),fuel_type
Toyota,Camry,2019,2599999.0,Екатеринбург,48158.0,2.0,"бензин,"
Toyota,Camry,2018,3040000.0,Екатеринбург,73500.0,2.5,"бензин,"
Toyota,Camry,2020,2999000.0,Екатеринбург,137600.0,2.5,"бензин,"
Toyota,Camry,2018,2760000.0,Екатеринбург,160510.0,2.5,"бензин,"
Toyota,Camry,2024,4399000.0,Екатеринбург,,2.0,"бензин,"
Toyota,Camry,2023,4400000.0,Екатеринбург,6000.0,2.5,"бензин,"
Toyota,Camry,2011,1349900.0,Екатеринбург,204000.0,2.4,"бензин,"
Toyota,Camry,2008,1250000.0,Екатеринбург,180000.0,2.4,"бензин,"
Toyota,Camry,2018,2599000.0,Екатеринбург,88000.0,2.5,"бензин,"
Toyota,Camry,2006,1300000.0,Екатеринбург,172000.0,2.4,"бензин,"
Toyota,Camry,2024,4499000.0,Екатеринбург,,2.0,"бензин,"
Toyota,Camry,2015,2649000.0,Екатеринбург,123000.0,2.5,"бензин,"
Toyota,Camry,2018,2850000.0,Екатеринбург,186000.0,2.5,"бензин,"
Toyota,Camry,2017,2425000.0,Екатеринбург,155800.0,2.5,"бензин,"
Toyota,Camry,2021,3099000.0,Екатеринбург,71000.0,2.5,"бензин,"
Toyota,Camry,2008,1100000.0,Екатеринбург,160000.0,2.4,"бензин,"
Toyota,Camry,2014,1880000.0,Екатеринбург,187455.0,2.5,"бензин,"
Toyota,Camry,2016,2340000.0,Екатеринбург,165000.0,2.5,"бензин,"
Toyota,Camry,2022,3698750.0,Екатеринбург,2700.0,2.5,"бензин,"
Toyota,Camry,2004,800000.0,Екатеринбург,404000.0,2.4,"бензин,"
Toyota,Camry,2019,2599999.0,Екатеринбург,48158.0,2.0,"бензин,"
Toyota,Camry,2018,3040000.0,Екатеринбург,73500.0,2.5,"бензин,"
Toyota,Camry,2020,2999000.0,Екатеринбург,137600.0,2.5,"бензин,"
Toyota,Camry,2018,2760000.0,Екатеринбург,160510.0,2.5,"бензин,"
Toyota,Camry,2024,4399000.0,Екатеринбург,,2.0,"бензин,"
Toyota,Camry,2023,4400000.0,Екатеринбург,6000.0,2.5,"бензин,"
Toyota,Camry,2011,1349900.0,Екатеринбург,204000.0,2.4,"бензин,"
Toyota,Camry,2008,1250000.0,Екатеринбург,180000.0,2.4,"бензин,"
Toyota,Camry,2018,2599000.0,Екатеринбург,88000.0,2.5,"бензин,"
Toyota,Camry,2006,1300000.0,Екатеринбург,172000.0,2.4,"бензин,"
Toyota,Camry,2024,4499000.0,Екатеринбург,,2.0,"бензин,"
Toyota,Camry,2015,2649000.0,Екатеринбург,123000.0,2.5,"бензин,"
Toyota,Camry,2018,2850000.0,Екатеринбург,186000.0,2.5,"бензин,"
Toyota,Camry,2017,2425000.0,Екатеринбург,155800.0,2.5,"бензин,"
Toyota,Camry,2021,3099000.0,Екатеринбург,71000.0,2.5,"бензин,"
Toyota,Camry,2008,1100000.0,Екатеринбург,160000.0,2.4,"бензин,"
Toyota,Camry,2014,1880000.0,Екатеринбург,187455.0,2.5,"бензин,"
Toyota,Camry,2016,2340000.0,Екатеринбург,165000.0,2.5,"бензин,"
Toyota,Camry,2022,3698750.0,Екатеринбург,2700.0,2.5,"бензин,"
Toyota,Camry,2004,800000.0,Екатеринбург,404000.0,2.4,"бензин,"
Toyota,Camry,2013,2090000.0,Екатеринбург,196000.0,2.5,"бензин,"
Toyota,Camry,2019,3700000.0,Екатеринбург,130000.0,3.5,"бензин,"
Toyota,Camry,2011,1319000.0,Екатеринбург,217000.0,2.4,"бензин,"
Toyota,Camry,2011,1200000.0,Екатеринбург,315000.0,2.4,"бензин,"
Toyota,Camry,2008,999000.0,Екатеринбург,343414.0,2.4,"бензин,"
Toyota,Camry,2019,2790000.0,Екатеринбург,113517.0,2.5,"бензин,"
Toyota,Camry,2012,1725000.0,Екатеринбург,165000.0,2.5,"бензин,"
Toyota,Camry,2024,4790000.0,Екатеринбург,,2.0,"бензин,"
Toyota,Camry,2006,895000.0,Екатеринбург,245000.0,2.4,"бензин,"
Toyota,Camry,2020,3099000.0,Екатеринбург,126255.0,2.5,"бензин,"
Toyota,Camry,2019,3049000.0,Екатеринбург,77016.0,2.5,"бензин,"
Toyota,Camry,2019,2695000.0,Екатеринбург,43689.0,2.0,"бензин,"
Toyota,Camry,2020,3170000.0,Екатеринбург,52800.0,2.5,"бензин,"
Toyota,Camry,2019,2600000.0,Екатеринбург,225000.0,2.0,"бензин,"
Toyota,Camry,2019,2990000.0,Екатеринбург,96000.0,2.0,"бензин,"
Toyota,Camry,2018,2599000.0,Екатеринбург,134000.0,2.5,"бензин,"
Toyota,Camry,2020,4000000.0,Екатеринбург,43000.0,2.5,"бензин,"
Toyota,Camry,2006,740000.0,Екатеринбург,300000.0,3.5,"бензин,"
Toyota,Camry,2012,1970000.0,Екатеринбург,211500.0,2.5,"бензин,"
Toyota,Camry,2014,1890000.0,Екатеринбург,170240.0,2.5,"бензин,"
Toyota,Camry,2018,3600000.0,Екатеринбург,13500.0,2.5,"бензин,"
Toyota,Camry,2015,2150000.0,Екатеринбург,130000.0,2.5,"бензин,"
Toyota,Camry,2019,2800000.0,Екатеринбург,130000.0,2.5,"гибрид,"
Toyota,Camry,2012,1728000.0,Екатеринбург,160000.0,2.5,"бензин,"
Toyota,Camry,2021,4107007.0,Екатеринбург,6000.0,2.5,"бензин,"
Toyota,Camry,2007,1350000.0,Екатеринбург,224200.0,2.4,"бензин,"
Toyota,Camry,2006,870000.0,Екатеринбург,304000.0,3.5,"бензин,"
Toyota,Camry,2014,1729000.0,Екатеринбург,200000.0,3.5,"бензин,"
