carBrand,carModel,year,price(rub),city,distance(km),engine_capacity(L),fuel_type
Лада,Гранта,2018,480000.0,Екатеринбург,194000.0,1.6,"бензин,"
Лада,Гранта,2016,540000.0,Екатеринбург,57000.0,1.6,"бензин,"
Лада,Гранта,2013,450000.0,Екатеринбург,60000.0,1.6,"бензин,"
Лада,Гранта,2018,669000.0,Екатеринбург,73000.0,1.6,"бензин,"
Лада,Гранта,2022,950000.0,Екатеринбург,21616.0,1.6,"бензин,"
Лада,Гранта,2023,1168000.0,Екатеринбург,19800.0,1.6,"бензин,"
Лада,Гранта,2024,992000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2021,1015000.0,Екатеринбург,37227.0,1.6,"бензин,"
Лада,Гранта,2024,911000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2024,1015900.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2024,1045900.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2024,911000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2013,500000.0,Екатеринбург,149200.0,1.6,"бензин,"
Лада,Гранта,2017,569760.0,Екатеринбург,133529.0,1.6,"бензин,"
Лада,Гранта,2023,958000.0,Екатеринбург,19850.0,1.6,"бензин,"
Лада,Гранта,2014,449000.0,Екатеринбург,204000.0,1.6,"бензин,"
Лада,Гранта,2018,700000.0,Екатеринбург,48000.0,1.6,"бензин,"
Лада,Гранта,2022,870000.0,Екатеринбург,24300.0,1.6,"бензин,"
Лада,Гранта,2024,1097000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2015,448000.0,Екатеринбург,189000.0,1.6,"бензин,"
Лада,Гранта,2018,480000.0,Екатеринбург,194000.0,1.6,"бензин,"
Лада,Гранта,2016,540000.0,Екатеринбург,57000.0,1.6,"бензин,"
Лада,Гранта,2013,450000.0,Екатеринбург,60000.0,1.6,"бензин,"
Лада,Гранта,2018,669000.0,Екатеринбург,73000.0,1.6,"бензин,"
Лада,Гранта,2022,950000.0,Екатеринбург,21616.0,1.6,"бензин,"
Лада,Гранта,2023,1168000.0,Екатеринбург,19800.0,1.6,"бензин,"
Лада,Гранта,2024,992000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2021,1015000.0,Екатеринбург,37227.0,1.6,"бензин,"
Лада,Гранта,2024,911000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2024,1015900.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2024,1045900.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2024,911000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2013,500000.0,Екатеринбург,149200.0,1.6,"бензин,"
Лада,Гранта,2017,569760.0,Екатеринбург,133529.0,1.6,"бензин,"
Лада,Гранта,2023,958000.0,Екатеринбург,19850.0,1.6,"бензин,"
Лада,Гранта,2014,449000.0,Екатеринбург,204000.0,1.6,"бензин,"
Лада,Гранта,2018,700000.0,Екатеринбург,48000.0,1.6,"бензин,"
Лада,Гранта,2022,870000.0,Екатеринбург,24300.0,1.6,"бензин,"
Лада,Гранта,2024,1097000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2015,448000.0,Екатеринбург,189000.0,1.6,"бензин,"
Лада,Гранта,2015,450000.0,Екатеринбург,173000.0,1.6,"бензин,"
Лада,Гранта,2014,419000.0,Екатеринбург,177900.0,1.6,"бензин,"
Лада,Гранта,2018,535870.0,Екатеринбург,156236.0,1.6,"бензин,"
Лада,Гранта,2023,830000.0,Екатеринбург,35392.0,1.6,"бензин,"
Лада,Гранта,2024,1073000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2024,1036000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2021,820000.0,Екатеринбург,51000.0,1.6,"бензин,"
Лада,Гранта,2024,1073000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2024,1114000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2024,1423000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2021,699000.0,Екатеринбург,54000.0,1.6,"бензин,"
Лада,Гранта,2019,775000.0,Екатеринбург,59900.0,1.6,"бензин,"
Лада,Гранта,2019,720000.0,Екатеринбург,61992.0,1.6,"бензин,"
Лада,Гранта,2016,750000.0,Екатеринбург,90000.0,1.6,"бензин,"
Лада,Гранта,2014,430000.0,Екатеринбург,140000.0,1.6,"бензин,"
Лада,Гранта,2020,985000.0,Екатеринбург,76965.0,1.6,"бензин,"
Лада,Гранта,2016,541000.0,Екатеринбург,266766.0,1.6,"бензин,"
Лада,Гранта,2019,835000.0,Екатеринбург,87209.0,1.6,"бензин,"
Лада,Гранта,2024,1278000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2019,650000.0,Екатеринбург,92000.0,1.6,"бензин,"
Лада,Гранта,2018,499999.0,Екатеринбург,83500.0,1.6,"бензин,"
Лада,Гранта,2023,850000.0,Екатеринбург,7900.0,1.6,"бензин,"
Лада,Гранта,2018,550000.0,Екатеринбург,225000.0,1.6,"бензин,"
Лада,Гранта,2022,1028000.0,Екатеринбург,2520.0,1.6,"бензин,"
Лада,Гранта,2021,753000.0,Екатеринбург,78000.0,1.6,"бензин,"
Лада,Гранта,2022,888000.0,Екатеринбург,9500.0,1.6,"бензин,"
Лада,Гранта,2017,480000.0,Екатеринбург,227000.0,1.6,"бензин,"
Лада,Гранта,2018,630000.0,Екатеринбург,120000.0,1.6,"бензин,"
