carBrand,carModel,year,price(rub),city,distance(km),engine_capacity(L),fuel_type
Toyota,Camry,2024,4600000.0,Москва,,2.0,"бензин,"
Toyota,Camry,2012,1900000.0,Москва,120000.0,2.5,"бензин,"
Toyota,Camry,2021,3100000.0,Москва,39000.0,2.0,"бензин,"
Toyota,Camry,2020,3550000.0,Москва,36501.0,2.5,"бензин,"
Toyota,Camry,2016,2399000.0,Москва,152997.0,3.5,"бензин,"
Toyota,Camry,2012,1549999.0,Москва,320000.0,2.5,"бензин,"
Toyota,Camry,2021,2390000.0,Москва,117785.0,2.0,"бензин,"
Toyota,Camry,2021,2754000.0,Москва,14207.0,2.0,"бензин,"
Toyota,Camry,2016,2465000.0,Москва,85087.0,2.5,"бензин,"
Toyota,Camry,2019,3269000.0,Москва,35372.0,3.5,"бензин,"
Toyota,Camry,2001,470000.0,Москва,650000.0,3.0,"бензин,"
Toyota,Camry,2020,3490000.0,Москва,58484.0,3.5,"бензин,"
Toyota,Camry,2021,3170000.0,Москва,75533.0,2.5,"бензин,"
Toyota,Camry,2017,2210000.0,Москва,113356.0,2.5,"бензин,"
Toyota,Camry,2013,1920000.0,Москва,176196.0,2.5,"бензин,"
Toyota,Camry,2024,5050000.0,Москва,,2.0,"бензин,"
Toyota,Camry,2021,3640000.0,Москва,90146.0,3.5,"бензин,"
Toyota,Camry,2024,5050000.0,Москва,,2.0,"бензин,"
Toyota,Camry,2024,4600000.0,Москва,31.0,,"гибрид,"
Toyota,Camry,2024,4600000.0,Москва,,2.0,"бензин,"
Toyota,Camry,2012,1900000.0,Москва,120000.0,2.5,"бензин,"
Toyota,Camry,2021,3100000.0,Москва,39000.0,2.0,"бензин,"
Toyota,Camry,2020,3550000.0,Москва,36501.0,2.5,"бензин,"
Toyota,Camry,2016,2399000.0,Москва,152997.0,3.5,"бензин,"
Toyota,Camry,2012,1549999.0,Москва,320000.0,2.5,"бензин,"
Toyota,Camry,2021,2390000.0,Москва,117785.0,2.0,"бензин,"
Toyota,Camry,2021,2754000.0,Москва,14207.0,2.0,"бензин,"
Toyota,Camry,2016,2465000.0,Москва,85087.0,2.5,"бензин,"
Toyota,Camry,2019,3269000.0,Москва,35372.0,3.5,"бензин,"
Toyota,Camry,2001,470000.0,Москва,650000.0,3.0,"бензин,"
