carBrand,carModel,year,price(rub),city,distance(km),engine_capacity(L),fuel_type
Лада,Гранта,2023,959000.0,Москва,14183.0,1.6,"бензин,"
Лада,Гранта,2024,1078000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1078000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2015,385000.0,Москва,167340.0,1.6,"бензин,"
Лада,Гранта,2020,795950.0,Москва,69455.0,1.6,"бензин,"
Лада,Гранта,2013,380000.0,Москва,197000.0,1.6,"бензин,"
Лада,Гранта,2024,1067000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1082000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1293000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2021,925000.0,Москва,67000.0,1.6,"бензин,"
Лада,Гранта,2014,450000.0,Москва,146000.0,1.6,"бензин,"
Лада,Гранта,2018,787000.0,Москва,47562.0,1.6,"бензин,"
Лада,Гранта,2024,1067000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1018000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1052000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1293000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1293000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1073000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1097000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1033000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2023,959000.0,Москва,14183.0,1.6,"бензин,"
Лада,Гранта,2024,1078000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1078000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2015,385000.0,Москва,167340.0,1.6,"бензин,"
Лада,Гранта,2020,795950.0,Москва,69455.0,1.6,"бензин,"
Лада,Гранта,2013,380000.0,Москва,197000.0,1.6,"бензин,"
Лада,Гранта,2024,1067000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1082000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1293000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2021,925000.0,Москва,67000.0,1.6,"бензин,"
Лада,Гранта,2014,450000.0,Москва,146000.0,1.6,"бензин,"
Лада,Гранта,2018,787000.0,Москва,47562.0,1.6,"бензин,"
Лада,Гранта,2024,1067000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1018000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1052000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1293000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1293000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1073000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1097000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1033000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1052000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1067000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1293000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1037000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1293000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1293000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1052000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2024,1164000.0,Москва,,1.6,"бензин,"
Лада,Гранта,2023,940000.0,Москва,3659.0,1.6,"бензин,"
Лада,Гранта,2022,710000.0,Москва,102700.0,1.6,"бензин,"
Лада,Гранта,2023,900000.0,Москва,22163.0,1.6,"бензин,"
Лада,Гранта,2021,950000.0,Москва,11000.0,1.6,"бензин,"
Лада,Гранта,2017,520000.0,Москва,140000.0,1.6,"бензин,"
