carBrand,carModel,year,price(rub),city,distance(km),engine_capacity(L),fuel_type
Hyundai,Solaris,2021,1840000.0,Москва,53000.0,1.6,"бензин,"
Hyundai,Solaris,2018,1370000.0,Москва,110792.0,1.6,"бензин,"
Hyundai,Solaris,2017,988000.0,Москва,147111.0,1.4,"бензин,"
Hyundai,Solaris,2016,1088000.0,Москва,176189.0,1.6,"бензин,"
Hyundai,Solaris,2021,1149000.0,Москва,131303.0,1.6,"бензин,"
Hyundai,Solaris,2016,900000.0,Москва,120800.0,1.6,"бензин,"
Hyundai,Solaris,2020,1630000.0,Москва,73000.0,1.6,"бензин,"
Hyundai,Solaris,2020,1328000.0,Москва,26540.0,1.4,"бензин,"
Hyundai,Solaris,2014,910000.0,Москва,176646.0,1.6,"бензин,"
Hyundai,Solaris,2018,1250000.0,Москва,108000.0,1.6,"бензин,"
Hyundai,Solaris,2022,1980000.0,Москва,17600.0,1.6,"бензин,"
Hyundai,Solaris,2018,1185000.0,Москва,80215.0,1.6,"бензин,"
Hyundai,Solaris,2012,824000.0,Москва,109848.0,1.6,"бензин,"
Hyundai,Solaris,2020,1780000.0,Москва,22900.0,1.6,"бензин,"
Hyundai,Solaris,2014,1025000.0,Москва,141622.0,1.6,"бензин,"
Hyundai,Solaris,2014,889000.0,Москва,207150.0,1.6,"бензин,"
Hyundai,Solaris,2015,1280000.0,Москва,88000.0,1.6,"бензин,"
Hyundai,Solaris,2014,1149000.0,Москва,105042.0,1.6,"бензин,"
Hyundai,Solaris,2021,1840000.0,Москва,53000.0,1.6,"бензин,"
Hyundai,Solaris,2018,1370000.0,Москва,110792.0,1.6,"бензин,"
Hyundai,Solaris,2017,988000.0,Москва,147111.0,1.4,"бензин,"
Hyundai,Solaris,2016,1088000.0,Москва,176189.0,1.6,"бензин,"
Hyundai,Solaris,2021,1149000.0,Москва,131303.0,1.6,"бензин,"
Hyundai,Solaris,2016,900000.0,Москва,120800.0,1.6,"бензин,"
Hyundai,Solaris,2020,1630000.0,Москва,73000.0,1.6,"бензин,"
Hyundai,Solaris,2020,1328000.0,Москва,26540.0,1.4,"бензин,"
Hyundai,Solaris,2014,910000.0,Москва,176646.0,1.6,"бензин,"
Hyundai,Solaris,2018,1250000.0,Москва,108000.0,1.6,"бензин,"
Hyundai,Solaris,2022,1980000.0,Москва,17600.0,1.6,"бензин,"
Hyundai,Solaris,2018,1185000.0,Москва,80215.0,1.6,"бензин,"
Hyundai,Solaris,2012,824000.0,Москва,109848.0,1.6,"бензин,"
Hyundai,Solaris,2020,1780000.0,Москва,22900.0,1.6,"бензин,"
Hyundai,Solaris,2014,1025000.0,Москва,141622.0,1.6,"бензин,"
Hyundai,Solaris,2014,889000.0,Москва,207150.0,1.6,"бензин,"
Hyundai,Solaris,2015,1280000.0,Москва,88000.0,1.6,"бензин,"
Hyundai,Solaris,2014,1149000.0,Москва,105042.0,1.6,"бензин,"
Hyundai,Solaris,2012,780000.0,Москва,195000.0,1.6,"бензин,"
Hyundai,Solaris,2020,1730000.0,Москва,46977.0,1.6,"бензин,"
Hyundai,Solaris,2014,390000.0,Москва,601093.0,1.4,"бензин,"
Hyundai,Solaris,2017,1250000.0,Москва,128000.0,1.4,"бензин,"
Hyundai,Solaris,2011,425000.0,Москва,147500.0,1.4,"бензин,"
Hyundai,Solaris,2021,1720000.0,Москва,72890.0,1.6,"бензин,"
Hyundai,Solaris,2012,864000.0,Москва,177289.0,1.6,"бензин,"
Hyundai,Solaris,2014,935000.0,Москва,164165.0,1.6,"бензин,"
Hyundai,Solaris,2017,1599000.0,Москва,22552.0,1.6,"бензин,"
Hyundai,Solaris,2019,1575000.0,Москва,46124.0,1.6,"бензин,"
Hyundai,Solaris,2022,1650000.0,Москва,51000.0,1.6,"бензин,"
Hyundai,Solaris,2020,1279000.0,Москва,88161.0,1.6,"бензин,"
Hyundai,Solaris,2021,1499000.0,Москва,65000.0,1.6,"бензин,"
Hyundai,Solaris,2021,1698000.0,Москва,35877.0,1.6,"бензин,"
Hyundai,Solaris,2018,1240000.0,Москва,114000.0,1.6,"бензин,"
Hyundai,Solaris,2016,950000.0,Москва,243545.0,1.6,"бензин,"
Hyundai,Solaris,2012,708000.0,Москва,233748.0,1.6,"бензин,"
Hyundai,Solaris,2012,1190000.0,Москва,58363.0,1.4,"бензин,"
Hyundai,Solaris,2014,750000.0,Москва,400000.0,1.4,"бензин,"
Hyundai,Solaris,2019,1395000.0,Москва,102785.0,1.6,"бензин,"
Hyundai,Solaris,2015,1144000.0,Москва,46809.0,1.6,"бензин,"
Hyundai,Solaris,2017,1294000.0,Москва,30211.0,1.6,"бензин,"
Hyundai,Solaris,2011,700000.0,Москва,165500.0,1.6,"бензин,"
